Data,Category,Model,Type,pval,Fmod,R2,padj
Kraken - Archaea,Diet_group,Diet_Group + Infraorder + Ocean,margin,0.0855,1.71971840844564,0.0875067659610807,0.1995
Kraken - Archaea,Infraorder,Diet_Group + Infraorder + Ocean,margin,0.1263,1.70068137025498,0.0432690392538694,0.221025
Kraken - Archaea,Ocean,Diet_Group + Infraorder + Ocean,margin,0.2852,1.1494310864541,0.0877320931526586,0.3551
Kraken - Archaea,Grade,Grade + Infraorder + Ocean,margin,0.1574,1.31929038363434,0.102431337197332,0.2574
Kraken - Archaea,Infraorder,Grade + Infraorder + Ocean,margin,0.0319,2.17266788472791,0.0562295406376738,0.0957
Kraken - Archaea,Ocean,Grade + Infraorder + Ocean,margin,0.3166,1.09333747070941,0.0565920490398793,0.3551
Kraken - Archaea,Grade,Grade + Family + Ocean,margin,0.0697,1.58791408965018,0.113212850286012,0.1722
Kraken - Archaea,Family,Grade + Family + Ocean,margin,0.0257,2.16725417974942,0.154517819687436,0.0852923076923077
Kraken - Archaea,Ocean,Grade + Family + Ocean,margin,0.3462,1.05902801402617,0.0503367198440193,0.3551
Kraken - Archaea,Grade,Grade + Genus + Ocean,margin,0.2987,1.12422045577022,0.0534353854435646,0.3551
Kraken - Archaea,Genus,Grade + Genus + Ocean,margin,0.0264,2.16725417974942,0.154517819687436,0.0852923076923077
Kraken - Archaea,Ocean,Grade + Genus + Ocean,margin,0.3481,1.05902801402617,0.0503367198440193,0.3551
Kraken - Archaea,Grade,Grade + Diet_Group + Infraorder + Ocean,margin,0.0695,1.58791408965018,0.113212850286012,0.1722
Kraken - Archaea,Diet_group,Grade + Diet_Group + Infraorder + Ocean,margin,0.0663,2.06787492881276,0.0982882790497616,0.1722
Kraken - Archaea,Infraorder,Grade + Diet_Group + Infraorder + Ocean,margin,0.1104,1.8206639150044,0.0432690392538695,0.210763636363636
Kraken - Archaea,Ocean,Grade + Diet_Group + Infraorder + Ocean,margin,0.3412,1.05902801402617,0.0503367198440194,0.3551
Kraken - Bacteria,Genus,Genus + Diet_group + Grade + Ocean,sequential,1e-04,6.00911752683887,0.506622689520096,0.000372727272727273
Kraken - Bacteria,Grade,Genus + Diet_group + Grade + Ocean,sequential,0.0449,1.84932481942308,0.0623658904741212,0.057528125
Kraken - Bacteria,Ocean,Genus + Diet_group + Grade + Ocean,sequential,0.0325,1.78070609449932,0.0600518200425116,0.0524214285714286
Kraken - Bacteria,Family,Family + Grade + Diet_group + Ocean,sequential,1e-04,6.43678755723429,0.434143297687307,0.000372727272727273
Kraken - Bacteria,Grade,Family + Grade + Diet_group + Ocean,sequential,0.0013,2.66569568136778,0.134845282306911,0.00355333333333333
Kraken - Bacteria,Ocean,Family + Grade + Diet_group + Ocean,sequential,0.0334,1.78070609449932,0.0600518200425113,0.0524214285714286
Kraken - Bacteria,Genus,Genus + Grade + Diet_group + Ocean,sequential,1e-04,6.00911752683887,0.506622689520096,0.000372727272727273
Kraken - Bacteria,Grade,Genus + Grade + Diet_group + Ocean,sequential,0.0414,1.84932481942308,0.0623658904741212,0.05658
Kraken - Bacteria,Ocean,Genus + Grade + Diet_group + Ocean,sequential,0.0333,1.78070609449932,0.0600518200425116,0.0524214285714286
Kraken - Bacteria,Diet_group,Diet_group + Grade + Genus + Ocean,sequential,1e-04,11.9093285937657,0.401625433724952,0.000372727272727273
Kraken - Bacteria,Grade,Diet_group + Grade + Genus + Ocean,sequential,0.0017,2.28083441281614,0.153835894792862,0.00435625
Kraken - Bacteria,Genus,Diet_group + Grade + Genus + Ocean,sequential,0.7068,0.802242434244489,0.0135272514764044,0.72447
Kraken - Bacteria,Ocean,Diet_group + Grade + Genus + Ocean,sequential,0.0339,1.78070609449932,0.0600518200425115,0.0524214285714286
Kraken - Bacteria,Diet_group,Diet_group + Genus + Grade + Ocean,sequential,1e-04,11.9093285937657,0.401625433724952,0.000372727272727273
Kraken - Bacteria,Genus,Diet_group + Genus + Grade + Ocean,sequential,0.0025,2.07564348222096,0.104997255795144,0.00569444444444444
Kraken - Bacteria,Grade,Diet_group + Genus + Grade + Ocean,sequential,0.0469,1.84932481942309,0.0623658904741214,0.058269696969697
Kraken - Bacteria,Ocean,Diet_group + Genus + Grade + Ocean,sequential,0.0358,1.78070609449932,0.0600518200425114,0.0524214285714286
Kraken - Bacteria,Grade,Grade + Genus + Diet_group + Ocean,sequential,1e-04,6.33456305996533,0.427248541575791,0.000372727272727273
Kraken - Bacteria,Genus,Grade + Genus + Diet_group + Ocean,sequential,1e-04,2.80199501105973,0.141740038418427,0.000372727272727273
Kraken - Bacteria,Ocean,Grade + Genus + Diet_group + Ocean,sequential,0.0317,1.78070609449932,0.0600518200425115,0.0524214285714286
Kraken - Bacteria,Grade,Grade + Diet_Group + Genus + Ocean,sequential,1e-04,6.33456305996533,0.427248541575791,0.000372727272727273
Kraken - Bacteria,Diet_group,Grade + Diet_Group + Genus + Ocean,sequential,1e-04,3.80187129946735,0.128212786942023,0.000372727272727273
Kraken - Bacteria,Genus,Grade + Diet_Group + Genus + Ocean,sequential,0.7063,0.80224243424449,0.0135272514764044,0.72447
Kraken - Bacteria,Ocean,Grade + Diet_Group + Genus + Ocean,sequential,0.0357,1.78070609449932,0.0600518200425115,0.0524214285714286
Kraken - Bacteria,Genus,Genus + Ocean,margin,1e-04,2.82434963766825,0.203449725677003,0.000372727272727273
Kraken - Bacteria,Ocean,Genus + Ocean,margin,0.063,1.69842130237052,0.0611721975641335,0.0738
Kraken - Bacteria,Diet_group,Diet_Group + Infraorder + Ocean,margin,5e-04,2.0407014919393,0.0822462121216357,0.00170833333333333
Kraken - Bacteria,Infraorder,Diet_Group + Infraorder + Ocean,margin,0.8799,0.671279115660921,0.0135272514764042,0.8799
Kraken - Bacteria,Ocean,Diet_Group + Infraorder + Ocean,margin,0.1565,1.2974168754549,0.0784345167362881,0.173418918918919
Kraken - Bacteria,Grade,Grade + Infraorder + Ocean,margin,0.0038,2.2273701710833,0.127629246864689,0.0082
Kraken - Bacteria,Infraorder,Grade + Infraorder + Ocean,margin,0.0443,2.20090431180646,0.0420375806685793,0.057528125
Kraken - Bacteria,Ocean,Grade + Infraorder + Ocean,margin,0.0508,1.63703912887201,0.062535353371264,0.0612588235294118
Kraken - Bacteria,Grade,Grade + Family + Ocean,margin,NA,NA,0,NA
Kraken - Bacteria,Family,Grade + Family + Ocean,margin,0.0023,3.97485073942513,0.0715812838606905,0.00554705882352941
Kraken - Bacteria,Ocean,Grade + Family + Ocean,margin,0.0679,1.69842130237052,0.0611721975641334,0.0773305555555556
Kraken - Bacteria,Grade,Grade + Genus + Ocean,margin,0.0391,1.81610246114184,0.061245512952499,0.0552793103448276
Kraken - Bacteria,Genus,Grade + Genus + Ocean,margin,6e-04,2.55965837477882,0.129481342738716,0.00189230769230769
Kraken - Bacteria,Ocean,Grade + Genus + Ocean,margin,0.0335,1.78070609449932,0.0600518200425113,0.0524214285714286
Kraken - Bacteria,Grade,Grade + Diet_Group + Infraorder + Ocean,margin,0.0011,2.62579315032284,0.13282679681319,0.00322142857142857
Kraken - Bacteria,Diet_group,Grade + Diet_Group + Infraorder + Ocean,margin,1e-04,2.59295455048673,0.0874437620701365,0.000372727272727273
Kraken - Bacteria,Infraorder,Grade + Diet_Group + Infraorder + Ocean,margin,0.7014,0.802242434244481,0.0135272514764042,0.72447
