TaxonomicLevel,Category,Taxon,chisq,pval,padj,DataSet
genus,Diet_group,Debaryomyces,2.07226107226107,0.354825011590813,1,Kraken - Fungi
genus,Diet_group,Saccharomyces,5.28948135198135,0.0710237695203761,1,Kraken - Fungi
genus,Grade,Pyrenophora,4.05929752066116,0.398040281821803,1,Kraken - Fungi
genus,Grade,Talaromyces,11.6601239669421,0.0200660040880054,0.300990061320081,Kraken - Fungi
genus,Grade,Botryosphaeriales,13.4567886658796,0.00924665688324826,0.138699853248724,Kraken - Fungi
genus,Grade,Trichoderma,9.29173553719008,0.0542070741648241,0.813106112472361,Kraken - Fungi
genus,Grade,Trametes,16.2505608028335,0.00270073377737063,0.0405110066605595,Kraken - Fungi
genus,Grade,uncultured fungus,8.82809917355374,0.0655427788943316,0.983141683414975,Kraken - Fungi
genus,Grade,Candida,12.5028335301063,0.0139787089055203,0.209680633582805,Kraken - Fungi
genus,Grade,Colletotrichum,9.1677390791027,0.0570408536243061,0.855612804364592,Kraken - Fungi
genus,Grade,Torulaspora,14.7501770956317,0.00524842683747679,0.0787264025621519,Kraken - Fungi
genus,Grade,Aspergillus,13.8443108028335,0.00780889284821045,0.117133392723157,Kraken - Fungi
genus,Grade,Ustilago,8.22033648170013,0.0838323830693952,1,Kraken - Fungi
genus,Grade,Rhizophagus,13.4476977567887,0.00928331961310948,0.139249794196642,Kraken - Fungi
genus,Grade,Fusarium,6.18108766233766,0.186026544349023,1,Kraken - Fungi
genus,Grade,Debaryomyces,4.60492916174735,0.330286259186486,1,Kraken - Fungi
genus,Grade,Saccharomyces,11.711038961039,0.019634532728553,0.294517990928295,Kraken - Fungi
genus,Genus,Methanobrevibacter,13.6213068181818,0.0182025764470444,0.145620611576355,Kraken - Archaea
genus,Genus,Methanococcus,20.7037878787879,0.000921351651092537,0.0073708132087403,Kraken - Archaea
genus,Genus,uncultured euryarchaeote,7.49957255747128,0.186057292429484,1,Kraken - Archaea
genus,Genus,Natrinema,13.4441287878788,0.0195539183901278,0.156431347121022,Kraken - Archaea
genus,Genus,uncultured Methanosarcinales archaeon,9.67773109243697,0.0848988714156483,0.679190971325187,Kraken - Archaea
genus,Genus,unclassified Candidatus Methanoperedenaceae,17.9998419596997,0.00294660266274915,0.0235728213019932,Kraken - Archaea
genus,Genus,uncultured archaeon,10.5776515151515,0.0604276402685699,0.483421122148559,Kraken - Archaea
genus,Genus,Methanosarcina,15.5647727272727,0.00820302417465883,0.0656241933972707,Kraken - Archaea
genus,Diet_group,Methanobrevibacter,12.918851981352,0.00156569417556113,0.012525553404489,Kraken - Archaea
genus,Diet_group,Methanococcus,16.030303030303,0.000330418172884985,0.00264334538307988,Kraken - Archaea
genus,Diet_group,uncultured euryarchaeote,0.291053271441204,0.8645668614059,1,Kraken - Archaea
genus,Diet_group,Natrinema,11.0390442890443,0.00400776261590529,0.0320621009272423,Kraken - Archaea
genus,Diet_group,uncultured Methanosarcinales archaeon,2.5282266752855,0.282489658076998,1,Kraken - Archaea
genus,Diet_group,unclassified Candidatus Methanoperedenaceae,13.3008337638919,0.00129348276344123,0.0103478621075298,Kraken - Archaea
genus,Diet_group,uncultured archaeon,8.98994755244756,0.0111649733990422,0.0893197871923377,Kraken - Archaea
genus,Diet_group,Methanosarcina,7.38505244755244,0.0249089967931636,0.199271974345309,Kraken - Archaea
genus,Grade,Methanobrevibacter,10.5253837072019,0.0324491265706277,0.259593012565022,Kraken - Archaea
genus,Grade,Methanococcus,13.333412042503,0.00975652525602394,0.0780522020481915,Kraken - Archaea
genus,Grade,uncultured euryarchaeote,4.05614280116437,0.398461066690594,1,Kraken - Archaea
genus,Grade,Natrinema,6.06768742621016,0.194150040008044,1,Kraken - Archaea
genus,Grade,uncultured Methanosarcinales archaeon,8.77662337662336,0.0669319007749408,0.535455206199527,Kraken - Archaea
genus,Grade,unclassified Candidatus Methanoperedenaceae,7.08342372759598,0.131544792195324,1,Kraken - Archaea
genus,Grade,uncultured archaeon,8.75983618654072,0.0673909230142824,0.539127384114259,Kraken - Archaea
genus,Grade,Methanosarcina,11.6894111570248,0.0198167025582743,0.158533620466194,Kraken - Archaea
genus,Genus,Streptomyces,14.9965909090909,0.0103769143670834,0.145276801139167,Kraken - Bacteria
genus,Genus,Bacillus,19.2213068181818,0.00174794608304525,0.0244712451626334,Kraken - Bacteria
genus,Genus,Clostridium,12.2880681818182,0.0310468244387571,0.434655542142599,Kraken - Bacteria
genus,Genus,Paenibacillus,26.1789772727273,8.23789416350991e-05,0.00115330518289139,Kraken - Bacteria
genus,Genus,uncultured bacterium,11.0545454545454,0.0503091691637692,0.704328368292769,Kraken - Bacteria
genus,Genus,Escherichia,20.90625,0.000843768834559002,0.011812763683826,Kraken - Bacteria
genus,Genus,Shewanella,14.3870265151515,0.0133291616513389,0.186608263118745,Kraken - Bacteria
genus,Genus,Paracoccus,24.7614583333333,0.000154913616917152,0.00216879063684012,Kraken - Bacteria
