Category	Function	Gene abbreviation	BLB.whokaryote.bac Function presence	BLBWG4.whokaryote.bac Function presence	BLR.whokaryote.bac Function presence	BLRWG4.whokaryote.bac Function presence	BLS.whokaryote.bac Function presence	DC06.whokaryote.bac Function presence	DC10.whokaryote.bac Function presence	DC11.whokaryote.bac Function presence	DC17.whokaryote.bac Function presence	DM13.whokaryote.bac Function presence	DM14.whokaryote.bac Function presence	DM15.whokaryote.bac Function presence	DM16.whokaryote.bac Function presence	GG01.whokaryote.bac Function presence	GH01.whokaryote.bac Function presence	GN13.whokaryote.bac Function presence	GN15.whokaryote.bac Function presence	GN18.whokaryote.bac Function presence	GN19.whokaryote.bac Function presence	Meg119.whokaryote.bac Function presence	Meg120.whokaryote.bac Function presence	Meg140.whokaryote.bac Function presence	Meg147.whokaryote.bac Function presence	Meg177.whokaryote.bac Function presence	Meg178.whokaryote.bac Function presence	Meg179.whokaryote.bac Function presence	Meg209.whokaryote.bac Function presence	Meg214.whokaryote.bac Function presence	Meg82.whokaryote.bac Function presence	Meg88.whokaryote.bac Function presence	Meg99.whokaryote.bac Function presence	OC01.whokaryote.bac Function presence
Hydrogenases	FeFe hydrogenase	fefe-group-b	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-c1	Absent	Absent	Present	Absent	Absent	Present	Absent	Present	Present	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-c2	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-c3	Absent	Present	Present	Present	Present	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	Fe hydrogenase	fe	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-1	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-2ade	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-2bc	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-3abd	Present	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-3c	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
